filename,blur_score,blur_detection_result
VizWiz_val_00000000.jpg,108.45068251505882,not blurry
VizWiz_val_00000001.jpg,1075.836034934707,not blurry
VizWiz_val_00000002.jpg,32.78385727947002,blurry
VizWiz_val_00000003.jpg,573.4188983769743,not blurry
VizWiz_val_00000004.jpg,210.2026088461461,not blurry
VizWiz_val_00000005.jpg,54.80487894306397,blurry
VizWiz_val_00000006.jpg,49.321376360014426,blurry
VizWiz_val_00000007.jpg,99.21318102573831,blurry
VizWiz_val_00000008.jpg,137.67338692316073,not blurry
VizWiz_val_00000009.jpg,168.03281289991997,not blurry
VizWiz_val_00000010.jpg,255.0060558569302,not blurry
VizWiz_val_00000011.jpg,34.456921262002744,blurry
VizWiz_val_00000012.jpg,183.63440943876455,not blurry
VizWiz_val_00000013.jpg,48.04718791634834,blurry
VizWiz_val_00000014.jpg,18.26736289908921,blurry
VizWiz_val_00000015.jpg,169.1856351404369,not blurry
VizWiz_val_00000016.jpg,319.78913893520144,not blurry
VizWiz_val_00000017.jpg,450.3488469225114,not blurry
VizWiz_val_00000018.jpg,509.58785993848437,not blurry
VizWiz_val_00000019.jpg,878.4992897708054,not blurry
VizWiz_val_00000020.jpg,665.9726042402569,not blurry
VizWiz_val_00000021.jpg,188.800919736852,not blurry
VizWiz_val_00000022.jpg,120.23202497067902,not blurry
VizWiz_val_00000023.jpg,51.59838836217844,blurry
VizWiz_val_00000024.jpg,325.80202079936254,not blurry
VizWiz_val_00000025.jpg,231.5105477050927,not blurry
VizWiz_val_00000026.jpg,464.43863451953183,not blurry
VizWiz_val_00000027.jpg,199.16875438715684,not blurry
VizWiz_val_00000028.jpg,338.57097331963627,not blurry
VizWiz_val_00000029.jpg,36.619855324040586,blurry
VizWiz_val_00000030.jpg,59.04358751853899,blurry
VizWiz_val_00000031.jpg,51.338094452088846,blurry
VizWiz_val_00000032.jpg,609.4032039215376,not blurry
VizWiz_val_00000033.jpg,23.33112788972438,blurry
VizWiz_val_00000034.jpg,287.37420591642734,not blurry
VizWiz_val_00000035.jpg,65.18195434349315,blurry
VizWiz_val_00000036.jpg,107.55531873574037,not blurry
VizWiz_val_00000037.jpg,238.78573424735515,not blurry
VizWiz_val_00000038.jpg,65.25779241078772,blurry
VizWiz_val_00000039.jpg,277.8230721890042,not blurry
VizWiz_val_00000040.jpg,341.00424059788264,not blurry
VizWiz_val_00000041.jpg,17.49581900901393,blurry
VizWiz_val_00000042.jpg,38.286417671862516,blurry
VizWiz_val_00000043.jpg,77.59569675378182,blurry
VizWiz_val_00000044.jpg,564.4380783757592,not blurry
VizWiz_val_00000045.jpg,779.0978600560826,not blurry
VizWiz_val_00000046.jpg,187.25982396051174,not blurry
VizWiz_val_00000047.jpg,132.87587100835225,not blurry
VizWiz_val_00000048.jpg,137.08403628695413,not blurry
VizWiz_val_00000049.jpg,319.78647066298527,not blurry
VizWiz_val_00000050.jpg,57.28754455783702,blurry
VizWiz_val_00000051.jpg,94.62808305301738,blurry
VizWiz_val_00000052.jpg,29.023563243811182,blurry
VizWiz_val_00000053.jpg,171.3318556080029,not blurry
VizWiz_val_00000054.jpg,211.98698941049253,not blurry
VizWiz_val_00000055.jpg,157.23339200231416,not blurry
VizWiz_val_00000056.jpg,183.47433549703123,not blurry
VizWiz_val_00000057.jpg,257.6819778337953,not blurry
VizWiz_val_00000058.jpg,262.38004579401667,not blurry
VizWiz_val_00000059.jpg,109.5580034102248,not blurry
VizWiz_val_00000060.jpg,272.64116755349465,not blurry
VizWiz_val_00000061.jpg,62.30364714257511,blurry
VizWiz_val_00000062.jpg,44.18758581970266,blurry
VizWiz_val_00000063.jpg,44.04590241589299,blurry
VizWiz_val_00000064.jpg,2047.4507904052734,not blurry
VizWiz_val_00000065.jpg,200.8571167720622,not blurry
VizWiz_val_00000066.jpg,15.624591620635726,blurry
VizWiz_val_00000067.jpg,96.13492401647997,blurry
VizWiz_val_00000068.jpg,23.666450824030715,blurry
VizWiz_val_00000069.jpg,330.32537757495953,not blurry
